source_id,target_id,relationship,source_url,source_document,variable_url,variable_document,evidence_type,page,chunk_id
ahc-model,ahc-assistance-or-alignment-track,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/ahc-assistance-or-alignment-track,data/raw/html/variable_page/38413af19bbb024beabe5f636e0b4cde2814c461.html,variable_page_containing_file,,
ahc-model,ahc-beneficiary-identifier,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/ahc-beneficiary-identifier,data/raw/html/variable_page/c7b69e2ac1934e621c1b30a851c026f182074065.html,variable_page_containing_file,,
ahc-model,ahc-bridge-organization-identifier,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/ahc-bridge-organization-identifier,data/raw/html/variable_page/ad824d7a13797ab6f0df1c358d5d77f835224ac4.html,variable_page_containing_file,,
ahc-model,ahc-bridge-organization-state,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/ahc-bridge-organization-state,data/raw/html/variable_page/02f173b8e12baec12b11a18543e011720ddc4520.html,variable_page_containing_file,,
ahc-model,all-core-hrsns-attempt-reach-failed,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/all-core-hrsns-attempt-reach-failed,data/raw/html/variable_page/e1ff9494bc5ce9783d4cdd36e30663ec5406bf1c.html,variable_page_containing_file,,
ahc-model,all-core-hrsns-connected-csp,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/all-core-hrsns-connected-csp,data/raw/html/variable_page/2678bb8c999e7bbacca83d72143f79610c092ef9.html,variable_page_containing_file,,
ahc-model,all-core-hrsns-csp-unavailable-or-unable-help,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/all-core-hrsns-csp-unavailable-or-unable-help,data/raw/html/variable_page/be1e0577b0e19b8201e53e9f5567aa4c2d55ee81.html,variable_page_containing_file,,
ahc-model,all-core-hrsns-opted-out-further-navigation-services,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/all-core-hrsns-opted-out-further-navigation-services,data/raw/html/variable_page/8cf3b9e5126debad958e30c982a91512fc2df679.html,variable_page_containing_file,,
ahc-model,all-core-hrsns-outcome-unknown,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/all-core-hrsns-outcome-unknown,data/raw/html/variable_page/5c08c8e22af3c181f70b1989897003806163c52f.html,variable_page_containing_file,,
ahc-model,all-core-hrsns-resolved,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/all-core-hrsns-resolved,data/raw/html/variable_page/e8328f7330c375e1cde56abcd9074ab014008b94.html,variable_page_containing_file,,
ahc-model,average-duration-successful-contacts-beneficiary,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/average-duration-successful-contacts-beneficiary,data/raw/html/variable_page/5ca784d5aeca5d35a8edaf16113056f1769139b8.html,variable_page_containing_file,,
ahc-model,beneficiary-age-screening,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/beneficiary-age-screening,data/raw/html/variable_page/dc45eabaff581b3d04f61a5ae99d8b46fa2a0315.html,variable_page_containing_file,,
ahc-model,beneficiary-birth-date,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/beneficiary-birth-date,data/raw/html/variable_page/f4e4f79d0d6fd0f0e7dd3a226398f98e2dcb2184.html,variable_page_containing_file,,
ahc-model,beneficiary-education,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/beneficiary-education,data/raw/html/variable_page/6c0cebdfaf51bcc1ef678aec37b28b9d564d8fc2.html,variable_page_containing_file,,
ahc-model,beneficiary-eligibility-navigation-includes-track-1-control-group-benes,contains,https://resdac.org/cms-data/files/ahc-model,,https://resdac.org/cms-data/variables/beneficiary-eligibility-navigation-includes-track-1-control-group-benes,data/raw/html/variable_page/25349989c96806ffd0ddb70da7f0e2dab0fb8512.html,variable_page_containing_file,,
