source_id,target_id,relationship,source_url,local_path,sha256
ahc-model,program_medicare-medicaid,belongs_to,https://resdac.org/cms-data/files/ahc-model,data/raw/html/dataset_page/1c35797b5493f4e27d3fcca1632661f8063b4618.html,0dcf593ba2c3953985524386d3974d9c0d2ddd65002e1e65fa0cbc5d2a7a748c
ahcah-hospital,ahcah-patient,related_to,https://resdac.org/cms-data/files/ahcah-hospital,data/raw/html/dataset_page/1bc1428ed5b3cd286fd5e01f6f6ec6c9bfcd5ca4.html,2b19df4eda3b98e72a427b6dd86592dbaa58c53f48aa94abca27c14c51f4356c
ahcah-hospital,program_medicare,belongs_to,https://resdac.org/cms-data/files/ahcah-hospital,data/raw/html/dataset_page/1bc1428ed5b3cd286fd5e01f6f6ec6c9bfcd5ca4.html,2b19df4eda3b98e72a427b6dd86592dbaa58c53f48aa94abca27c14c51f4356c
ahcah-patient,ahcah-hospital,related_to,https://resdac.org/cms-data/files/ahcah-patient,data/raw/html/dataset_page/e4e7d441e332e7ddf0868ff151091dc1906c9165.html,31809acd6dd23245c353e6cfa17984967cf631529749620c810a785a31443c62
ahcah-patient,program_medicare-medicaid,belongs_to,https://resdac.org/cms-data/files/ahcah-patient,data/raw/html/dataset_page/e4e7d441e332e7ddf0868ff151091dc1906c9165.html,31809acd6dd23245c353e6cfa17984967cf631529749620c810a785a31443c62
cahps,program_medicare,belongs_to,https://resdac.org/cms-data/files/cahps,data/raw/html/dataset_page/4ea2b9eba73e8e42fe95c34773820b28b0ae4def.html,23271ce4c0cd722c6579ea9dd9c877c954726f96c723c4c12d27127506c6b7ba
carrier-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/carrier-encounter,data/raw/html/dataset_page/cd641d32e7c9025a275a13684b1e14a7acc25157.html,1f12295861c0b12d3ec0cd04282d7b1e12384ae66ee4828a990148006de39c59
carrier-ffs,program_medicare,belongs_to,https://resdac.org/cms-data/files/carrier-ffs,data/raw/html/dataset_page/59d788b5a532d93ac4dca20f9c258cc797fe6cb6.html,5a0216ab217ab817856acf4226bcdd4c2cf0b76b360c1e29540b5551a658e769
cec-beneficiary,cec-provider,related_to,https://resdac.org/cms-data/files/cec-beneficiary,data/raw/html/dataset_page/7ffb06ad7fac8c92018706113a0d19ecec652fb2.html,0dffc767dd4bbed47e2f3d422627e42942a5bef0111b32433bca8c0684d5ac44
cec-beneficiary,program_medicare,belongs_to,https://resdac.org/cms-data/files/cec-beneficiary,data/raw/html/dataset_page/7ffb06ad7fac8c92018706113a0d19ecec652fb2.html,0dffc767dd4bbed47e2f3d422627e42942a5bef0111b32433bca8c0684d5ac44
cec-provider,cec-beneficiary,related_to,https://resdac.org/cms-data/files/cec-provider,data/raw/html/dataset_page/a1cc7713cc9e8cb23fc129b4faf71274faea54dc.html,a1b19f8d1c7fed5a5f8674a410cdbf8b1588f3ecfbac86a96b51db91b10e23f3
cec-provider,program_medicare,belongs_to,https://resdac.org/cms-data/files/cec-provider,data/raw/html/dataset_page/a1cc7713cc9e8cb23fc129b4faf71274faea54dc.html,a1b19f8d1c7fed5a5f8674a410cdbf8b1588f3ecfbac86a96b51db91b10e23f3
cmds-beneficiary,cmds-entity,related_to,https://resdac.org/cms-data/files/cmds-beneficiary,data/raw/html/dataset_page/d48a69cecaed5ae7646e6ef39ac98789b97bdbc6.html,51fb7cce05ebd231bffcb683f531a5b9945bc64b824b014d041f178f2ee41c9e
cmds-beneficiary,program_medicare,belongs_to,https://resdac.org/cms-data/files/cmds-beneficiary,data/raw/html/dataset_page/d48a69cecaed5ae7646e6ef39ac98789b97bdbc6.html,51fb7cce05ebd231bffcb683f531a5b9945bc64b824b014d041f178f2ee41c9e
cmds-entity,program_medicare,belongs_to,https://resdac.org/cms-data/files/cmds-entity,data/raw/html/dataset_page/fe306019948692b5209277e7fd3e0aeb53e463a9.html,7d4e0701778b6043647df27edd373a67e0149d66071737f0b169ac99007af873
cmds-provider,cmds-entity,related_to,https://resdac.org/cms-data/files/cmds-provider,data/raw/html/dataset_page/d29088b3a0ca3b7bd57bfb2ce420ed5854cd27de.html,c13431e6e5ce03a87d74ec7bb9535c0cd8cd87703e24476273d88de487e87eba
cmds-provider,program_medicare,belongs_to,https://resdac.org/cms-data/files/cmds-provider,data/raw/html/dataset_page/d29088b3a0ca3b7bd57bfb2ce420ed5854cd27de.html,c13431e6e5ce03a87d74ec7bb9535c0cd8cd87703e24476273d88de487e87eba
cmmi-model-data-sharing-cmds-model-participation-data-initiative,program_medicare,belongs_to,https://resdac.org/cms-data/files/cmmi-model-data-sharing-cmds-model-participation-data-initiative,data/raw/html/dataset_page/384107f331e2563369c38318d900e43172d43a4c.html,5f1a041a02a84dc6db1a00a6300b33902a0ca99d1c2fd5934ebf983685752d1a
dme-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/dme-encounter,data/raw/html/dataset_page/c23fcca164f03a963bd782a88f6ca79ff92aead3.html,6475bf6c705350d2a6df6ea92cb296260b08d1ab2dbde96885efc835ce2abcdd
dme-ffs,program_medicare,belongs_to,https://resdac.org/cms-data/files/dme-ffs,data/raw/html/dataset_page/ae362508e5c3cff6613bd82d4092fe9dba589d2c.html,3c6cfb2b80e3f26e8fd64c579421ac2ac842fbaa09710039e076869582097aa2
hedis-rif,hedis-rif-measures,related_to,https://resdac.org/cms-data/files/hedis-rif,data/raw/html/dataset_page/53c762b9d98cbbd768630ecf1a91b72fe35aefeb.html,cbddf693939f58568ffc12152da9630e4b035f8bdfe30206fa162decd5abade6
hedis-rif,hedis-rif-pcr-measure,related_to,https://resdac.org/cms-data/files/hedis-rif,data/raw/html/dataset_page/53c762b9d98cbbd768630ecf1a91b72fe35aefeb.html,cbddf693939f58568ffc12152da9630e4b035f8bdfe30206fa162decd5abade6
hedis-rif,program_medicare,belongs_to,https://resdac.org/cms-data/files/hedis-rif,data/raw/html/dataset_page/53c762b9d98cbbd768630ecf1a91b72fe35aefeb.html,cbddf693939f58568ffc12152da9630e4b035f8bdfe30206fa162decd5abade6
hedis-rif-measures,program_medicare,belongs_to,https://resdac.org/cms-data/files/hedis-rif-measures,data/raw/html/dataset_page/3f56579b8b9f43846fb5661b62bd296a42d69806.html,d381a94ad299b001f49fdab10ecfade546a3a9c64a4c20aaec1e535c01906e5d
hedis-rif-pcr-measure,program_medicare,belongs_to,https://resdac.org/cms-data/files/hedis-rif-pcr-measure,data/raw/html/dataset_page/21d6d237c32fea07af50f6e40ad3e0e6d3a0d116.html,4b16625e45986b88a8ebb4dbf19502ba579d93749ec0c6c48a0cf25154210bf1
hha-encounter,program_medicare,belongs_to,https://resdac.org/cms-data/files/hha-encounter,data/raw/html/dataset_page/4fb670a23573bd7b0647d6c10fc05a39baf8dff8.html,a452797389f33e07d3444d44a7ff224d334a10fb036f546d6b2b79d13887a31b
hha-ffs,program_medicare,belongs_to,https://resdac.org/cms-data/files/hha-ffs,data/raw/html/dataset_page/8a72c4a9535ffc8f53655841fefcc77eb01cb3b9.html,ba9af8f00db7d381196b4b836217d116363dccd6f69f327b5958c04eadd8456e
