variable_id,variable_name,variable_label,definition,source,source_url,source_document,extraction_notes
1115a-demonstration-participation-indicator,SECT_1115A_DEMO_IND,1115(A) Demonstration Participation Indicator,,resdac_variable_page,https://resdac.org/cms-data/variables/1115a-demonstration-participation-indicator,data/raw/html/variable_page/380c61e56a10da36869c284b7c8506211e5c72b6.html,
113-icd-10-cause-death-recodes,ICD_CODE_113,113 ICD-10 Cause of Death Recodes,,resdac_variable_page,https://resdac.org/cms-data/variables/113-icd-10-cause-death-recodes,data/raw/html/variable_page/cdc20a2a61d0f267e309d14badfe400143b7d4c8.html,
113-icd-10-cause-death-recodes-0,ICD_CODE_113,113 ICD-10 Cause of Death Recodes,,resdac_variable_page,https://resdac.org/cms-data/variables/113-icd-10-cause-death-recodes-0,data/raw/html/variable_page/7a988e58caba31b41fcfdbf58d3c944cd5807555.html,
130-icd-10-cause-death-recodes,ICD_CODE_130,130 ICD-10 Cause of Death Recodes,,resdac_variable_page,https://resdac.org/cms-data/variables/130-icd-10-cause-death-recodes,data/raw/html/variable_page/84bb40ac19167ffc950b1fd6e7bfb881d823204d.html,
130-icd-10-cause-death-recodes-0,ICD_CODE_130,130 ICD-10 Cause of Death Recodes,,resdac_variable_page,https://resdac.org/cms-data/variables/130-icd-10-cause-death-recodes-0,data/raw/html/variable_page/e7674e51eb0a88c7e530142bccdf1c518694fa36.html,
340b-status-indicator,STATUS_340B_IND,340B Status Indicator,,resdac_variable_page,https://resdac.org/cms-data/variables/340b-status-indicator,data/raw/html/variable_page/3b140cad623a609a7125f0bb09d7710b0d7d0dff.html,
358-icd-10-cause-death-recodes,ICD_CODE_358,358 ICD-10 Cause of Death Recodes,,resdac_variable_page,https://resdac.org/cms-data/variables/358-icd-10-cause-death-recodes,data/raw/html/variable_page/cf09aaa94ace8c1b3f7309889f9c5b445d59ddf6.html,
358-icd-10-cause-death-recodes-0,ICD_CODE_358,358 ICD-10 Cause of Death Recodes,,resdac_variable_page,https://resdac.org/cms-data/variables/358-icd-10-cause-death-recodes-0,data/raw/html/variable_page/fd9b3fa615d81e78374e5dbebf09bb2f0a35a520.html,
academic-or-professional-credential-1-part-d-prescribers,,Academic or Professional Credential 1 - for Part D Prescribers,,resdac_variable_page,https://resdac.org/cms-data/variables/academic-or-professional-credential-1-part-d-prescribers,data/raw/html/variable_page/995656d074a300a6c6f18bdd2af424737d897000.html,variable name not found on page
academic-or-professional-credential-2-part-d-prescribers,,Academic or Professional Credential 2 - for Part D Prescribers,,resdac_variable_page,https://resdac.org/cms-data/variables/academic-or-professional-credential-2-part-d-prescribers,data/raw/html/variable_page/5bcb8ad73a4c342450de8a641930be4d421f542a.html,variable name not found on page
academic-or-professional-credential-3-part-d-prescribers,,Academic or Professional Credential 3 - for Part D Prescribers,,resdac_variable_page,https://resdac.org/cms-data/variables/academic-or-professional-credential-3-part-d-prescribers,data/raw/html/variable_page/d3f1d157629d2bd2b62482648871a1cbbaacf2eb.html,variable name not found on page
academic-or-professional-credential-4-part-d-prescribers,,Academic or Professional Credential 4 - for Part D Prescribers,,resdac_variable_page,https://resdac.org/cms-data/variables/academic-or-professional-credential-4-part-d-prescribers,data/raw/html/variable_page/acfe5da0c28f5ba2e9ed4feabcbc5dfad3052aa8.html,variable name not found on page
academic-or-professional-credential-5-part-d-prescribers,,Academic or Professional Credential 5 - for Part D Prescribers,,resdac_variable_page,https://resdac.org/cms-data/variables/academic-or-professional-credential-5-part-d-prescribers,data/raw/html/variable_page/63db1c3dd17b1f34dc5243472fb280e2c86ae270.html,variable name not found on page
accountable-care-organization-aco-identification-number,ACO_ID_NUM,Accountable Care Organization (ACO) Identification Number,,resdac_variable_page,https://resdac.org/cms-data/variables/accountable-care-organization-aco-identification-number,data/raw/html/variable_page/5cc02c522e0fa20f7dea6ff403304fb00823df46.html,
aco-agreement-start-date,START_DATE,ACO Agreement Start Date,,resdac_variable_page,https://resdac.org/cms-data/variables/aco-agreement-start-date,data/raw/html/variable_page/2f4ce3ad0253c43aee7245a18b3b979fac75f69e.html,
aco-identifier,ACO_NUM,ACO Identifier,,resdac_variable_page,https://resdac.org/cms-data/variables/aco-identifier,data/raw/html/variable_page/2531619d8428f4f2def3bb47ab8efda7fe591950.html,
aco-location-county-primarily-served,ACO_LOCATION,ACO Location (county primarily served),,resdac_variable_page,https://resdac.org/cms-data/variables/aco-location-county-primarily-served,data/raw/html/variable_page/fb5b89baefa0912e53e6aa808ed4e2c14617de61.html,
aco-name,ACO_NAME,ACO Name,,resdac_variable_page,https://resdac.org/cms-data/variables/aco-name,data/raw/html/variable_page/dc0bb973e2a6e9f75c01e0978273865abe477283.html,
acquired-hypothyroidism-end-year-indicator,,Acquired Hypothyroidism End Year Indicator,,resdac_variable_page,https://resdac.org/cms-data/variables/mbsf-27-cc/acquired-hypothyroidism-end-year-indicator,data/raw/html/variable_page/3fe39c4748cdca38273d8f2ea9e0db3e2a07874c.html,variable name not found on page
acquired-hypothyroidism-indicator-combined-data,HYPTHY_COMBINED,Acquired Hypothyroidism Indicator - Combined Data,,resdac_variable_page,https://resdac.org/cms-data/variables/acquired-hypothyroidism-indicator-combined-data,data/raw/html/variable_page/496c5a51da49e08e72c705194e2b385f6705c29c.html,
acquired-hypothyroidism-indicator-medicaid-only-data,HYPTHY_MEDICAID,Acquired Hypothyroidism Indicator - Medicaid-Only Data,,resdac_variable_page,https://resdac.org/cms-data/variables/acquired-hypothyroidism-indicator-medicaid-only-data,data/raw/html/variable_page/5e264e58328a135ed1f10241fdb95b30ee7e807e.html,
acquired-hypothyroidism-indicator-medicare-only-data,HYPTHY_MEDICARE,Acquired Hypothyroidism Indicator - Medicare-Only Data,,resdac_variable_page,https://resdac.org/cms-data/variables/acquired-hypothyroidism-indicator-medicare-only-data,data/raw/html/variable_page/71e1b8bc281f702ea5a144b4d000e1f2ed10b343.html,
acquired-hypothyroidism-mid-year-indicator,HYPOTH_MID,Acquired Hypothyroidism Mid-Year Indicator,,resdac_variable_page,https://resdac.org/cms-data/variables/mbsf-27-cc/acquired-hypothyroidism-mid-year-indicator,data/raw/html/variable_page/703f6e16673ea9763f2904e81127d2ec365f0c6f.html,
acsc-admission-copd-or-asthma,ACSC_ADM_COPD,ACSC admission for COPD or Asthma,,resdac_variable_page,https://resdac.org/cms-data/variables/acsc-admission-copd-or-asthma,data/raw/html/variable_page/d9a1f4ead544ce3f02207a950e827ca368ce2828.html,
