dataset_id,name,program,category,availability,source_url,local_path,sha256,extraction_notes
ahc-model,Accountable Health Communities Model,"Medicare, Medicaid",Special Programs,May 2018-April 2023,https://resdac.org/cms-data/files/ahc-model,data/raw/html/dataset_page/1c35797b5493f4e27d3fcca1632661f8063b4618.html,0dcf593ba2c3953985524386d3974d9c0d2ddd65002e1e65fa0cbc5d2a7a748c,
ahcah-hospital,Acute Hospital Care at Home - Hospital,Medicare,Special Programs,Release 1: November 2020-March 2023Release 2: April 2023-September 2025,https://resdac.org/cms-data/files/ahcah-hospital,data/raw/html/dataset_page/1bc1428ed5b3cd286fd5e01f6f6ec6c9bfcd5ca4.html,2b19df4eda3b98e72a427b6dd86592dbaa58c53f48aa94abca27c14c51f4356c,
ahcah-patient,Acute Hospital Care at Home - Patient,"Medicare, Medicaid",Special Programs,Release 1: November 2020-March 2023Release 2: April 2023-September 2025,https://resdac.org/cms-data/files/ahcah-patient,data/raw/html/dataset_page/e4e7d441e332e7ddf0868ff151091dc1906c9165.html,31809acd6dd23245c353e6cfa17984967cf631529749620c810a785a31443c62,
cahps,Consumer Assessment of Healthcare Providers & Systems,Medicare,Survey,2015-20192021-2025,https://resdac.org/cms-data/files/cahps,data/raw/html/dataset_page/4ea2b9eba73e8e42fe95c34773820b28b0ae4def.html,23271ce4c0cd722c6579ea9dd9c877c954726f96c723c4c12d27127506c6b7ba,
carrier-encounter,Encounter Carrier,Medicare,Medicare Encounter,2015-2023Preliminary 2024,https://resdac.org/cms-data/files/carrier-encounter?page=1,data/raw/html/dataset_page/3fc3fad128988cbf5f0a1b39005e72e895d911c4.html,8146296e2face1b9bb8a127819a3e5a1e9e29acc3f5c136d12bccfe58d3b2ae9,
carrier-ffs,Original Medicare (Fee-for-Service) Carrier,Medicare,Medicare Fee-For-Service Claims,Annual: 1999-2024Quarterly: 2024 Q1-Q4; 2025 Q1-Q3Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/carrier-ffs?page=1,data/raw/html/dataset_page/a0834096ab82dc7c9a202c8f0be41ea79431fc37.html,f9e729f178a66cbca47dbb93f6bdf0c44ab14ce520f076b8c36ec7868809e8e1,
cec-beneficiary,Comprehensive ESRD Care Model - Beneficiary,Medicare,Beneficiary Enrollment and Summary,October 2015-2020,https://resdac.org/cms-data/files/cec-beneficiary,data/raw/html/dataset_page/7ffb06ad7fac8c92018706113a0d19ecec652fb2.html,0dffc767dd4bbed47e2f3d422627e42942a5bef0111b32433bca8c0684d5ac44,
cec-provider,Comprehensive ESRD Care Model - Provider,Medicare,Plan and Provider,October 2015-2020,https://resdac.org/cms-data/files/cec-provider,data/raw/html/dataset_page/a1cc7713cc9e8cb23fc129b4faf71274faea54dc.html,a1b19f8d1c7fed5a5f8674a410cdbf8b1588f3ecfbac86a96b51db91b10e23f3,
cmds-beneficiary,CMMI Model Data Sharing Beneficiary,Medicare,Special Programs,2016-2025 Q1,https://resdac.org/cms-data/files/cmds-beneficiary,data/raw/html/dataset_page/d48a69cecaed5ae7646e6ef39ac98789b97bdbc6.html,51fb7cce05ebd231bffcb683f531a5b9945bc64b824b014d041f178f2ee41c9e,
cmds-entity,CMMI Model Data Sharing Entity,Medicare,Special Programs,2016-2025 Q1,https://resdac.org/cms-data/files/cmds-entity,data/raw/html/dataset_page/fe306019948692b5209277e7fd3e0aeb53e463a9.html,7d4e0701778b6043647df27edd373a67e0149d66071737f0b169ac99007af873,
cmds-provider,CMMI Model Data Sharing Provider,Medicare,Special Programs,2016-2025 Q1,https://resdac.org/cms-data/files/cmds-provider,data/raw/html/dataset_page/d29088b3a0ca3b7bd57bfb2ce420ed5854cd27de.html,c13431e6e5ce03a87d74ec7bb9535c0cd8cd87703e24476273d88de487e87eba,
cmmi-model-data-sharing-cmds-model-participation-data-initiative,CMMI Model Data Sharing (CMDS) Model Participation Data Initiative,Medicare,Special Programs,2016-2025 Q1,https://resdac.org/cms-data/files/cmmi-model-data-sharing-cmds-model-participation-data-initiative,data/raw/html/dataset_page/384107f331e2563369c38318d900e43172d43a4c.html,5f1a041a02a84dc6db1a00a6300b33902a0ca99d1c2fd5934ebf983685752d1a,
dme-encounter,Encounter Durable Medical Equipment,Medicare,Medicare Encounter,2015-2023Preliminary 2024,https://resdac.org/cms-data/files/dme-encounter?page=1,data/raw/html/dataset_page/0c2a4f81a325635749c0d9ab9fa80b2ffcc04d1f.html,4f68e2c60eb3ca8c4ad914ee1ebcc1417c07859105fb5e69cbac39cc358db969,
dme-ffs,Original Medicare (Fee-for-Service) Durable Medical Equipment,Medicare,Medicare Fee-For-Service Claims,Annual: 1999-2024Quarterly: 2024 Q1-Q4; 2025 Q1-Q3Monthly*: 2025 and 2026,https://resdac.org/cms-data/files/dme-ffs?page=1,data/raw/html/dataset_page/73815f5de3bc34dd965c74a2be1645c77b831246.html,6337b58092dcb94f3b807c229904bc908c9a177850db56cab7aa567104ea68a1,
