document_id,dataset_id,title,document_kind,source_url,local_path,sha256,content_type,extraction_notes
ahc-model__codebook-ahc_pdf__2ecadb1aec,ahc-model,Data Documentation | ResDAC,pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-ahc.pdf,data/raw/assets/pdf/2ecadb1aec0f9d6e0f07a7cc628ccf35b46ec6c5.pdf,d0a37dc4ae8350839359f6a74a8e6f21c3936e11fa3f869e64c5b7a3605b73b1,application/pdf,
ahc-model__data-documentation__2617b90539,ahc-model,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ahc-model/data-documentation,data/raw/html/documentation_page/2617b90539062fe66e0d34c18b850febb573183e.html,ceb5e10cec156ecace22bf2388dc6fbada3915b88360873a4d3809c10b5b14cb,text/html,
ahc-model__record-layout-ahc_xlsx__a24e6138f1,ahc-model,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-ahc.xlsx,data/raw/assets/xlsx/a24e6138f13d454f8775f43d953f26690833f358.xlsx,d2f74ecf905234e8e42c1e49abefeed00b3ca66babbcf28afcd4aca8163559be,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
ahcah-hospital__data-documentation__4c60fb8567,ahcah-hospital,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ahcah-hospital/data-documentation,data/raw/html/documentation_page/4c60fb85674dcfcd2336e84b45f08d6218aa76fa.html,08abc5817a8dedb1e7ee117eb13563f608ad28da139fc0faa1a752b3ff9f2b98,text/html,
ahcah-patient__codebook-ahcah_pdf__27ccfc2740,ahcah-patient,Data Documentation | ResDAC,pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-ahcah.pdf,data/raw/assets/pdf/27ccfc27407a53098d675d692da68eaa1b233dfc.pdf,86e35f4ee90fe829e332dca0ebe85c380915f3596038e8da0c89ffaab1e1c686,application/pdf,
ahcah-patient__data-documentation__995bd91472,ahcah-patient,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ahcah-patient/data-documentation,data/raw/html/documentation_page/995bd914721a5979423878bb7fe55e7b1d831074.html,53483b5bc616d210f1201083dbe78976dd07c73f14843bc0c4181ed2c5c1f174,text/html,
ahcah-patient__record-layout-ahcah_xlsx__83602a409f,ahcah-patient,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-ahcah.xlsx,data/raw/assets/xlsx/83602a409fc06cd2d8af1083b47854c376f2898a.xlsx,adc5bc67e10cd5c74ff11dbefe1e10a33945dfc43067ae01b98a763e8a26fb26,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
cahps__data-documentation__3570c4650b,cahps,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cahps/data-documentation,data/raw/html/documentation_page/3570c4650bdf156c15f0805bed8e74399f214473.html,9ff3d4a130bc6434e543126c8027dccd844b2c0bf72ce84f982d188a1c6e3cc2,text/html,
cahps__ffs-cahps-datadictionary-2025-ccw_pdf__ca6eb08dee,cahps,Data Documentation | ResDAC,pdf,https://resdac.org/sites/datadocumentation.resdac.org/files/2026-05/FFS_CAHPS_DataDictionary_2025_CCW.pdf,data/raw/assets/pdf/ca6eb08deec69a2ca0c053e0e47dab882908b143.pdf,1c8301c8848829346dde3e520f65db12429a82da44da45c6973d219d86157c0b,application/pdf,
cahps__ma-pdp-cahps-datadictionary-2025-ccw_pdf__d2602cbe44,cahps,Data Documentation | ResDAC,pdf,https://resdac.org/sites/datadocumentation.resdac.org/files/2026-05/MA_PDP_CAHPS_DataDictionary_2025_CCW.pdf,data/raw/assets/pdf/d2602cbe44c673c77cf8472b3ff5f084d5a5c3aa.pdf,a059cf64051d5ea0afb2323601d8849bdf85b62f196a1b702af1c03d8330fc85,application/pdf,
carrier-encounter__data-documentation__fdf41704a5,carrier-encounter,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/carrier-encounter/data-documentation,data/raw/html/documentation_page/fdf41704a5479014ec2f0e238069edc3892c6599.html,8fdfec75c43124d0f5f39a6d9c15abf5a5e1926efbd41f376c499e42f9271052,text/html,
carrier-ffs__data-documentation__1d94647469,carrier-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/carrier-ffs/data-documentation,data/raw/html/documentation_page/1d94647469e83d6f113be85ff63b3d64ecbcd28d.html,abf7a8760e59955c94d8f65b3f4284a091630fbbefa49b663516948b59e01b93,text/html,
cec-beneficiary__data-documentation__6a4e4b6ab9,cec-beneficiary,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cec-beneficiary/data-documentation,data/raw/html/documentation_page/6a4e4b6ab99daec6c86987e9164315c75ef600dc.html,14d7b595d829c77525f6c43b009c986550387c2b1ef3b672cc01d9e050f1e85a,text/html,
cec-beneficiary__record-layout-cec_xlsx__0a9d5eb9d2,cec-beneficiary,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-cec.xlsx,data/raw/assets/xlsx/0a9d5eb9d2a837bfce8a309faaa844e1ab5cb215.xlsx,34d752ad66de2ac825ab4f02ffdf8993c2613c12aff754f7f74e7b10d55ab6c4,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
cec-provider__data-documentation__e5123a1795,cec-provider,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cec-provider/data-documentation,data/raw/html/documentation_page/e5123a1795316feb41120271adc8af7000686d48.html,b4d5e3de23c1bfa8ffa2d037a03a98f15f49171af55f2e13a54d7b28e20aaaa1,text/html,
cmds-beneficiary__data-documentation__8b95768716,cmds-beneficiary,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmds-beneficiary/data-documentation,data/raw/html/documentation_page/8b957687160967ef616f1811d2948a4aa4fdbf19.html,f8414be7793507d783a499ce9a830a2cdf8f619ba0c26549341ee47f1dad861c,text/html,
cmds-beneficiary__record-layout-cmds_xlsx__db71320620,cmds-beneficiary,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-cmds.xlsx,data/raw/assets/xlsx/db713206205b9bc4a36a311a78fdfb65414c59e1.xlsx,f0dedb972b7d2411069655bbf74cf18b1b322042549054c8692313979f885a1b,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
cmds-entity__data-documentation__2e5244efce,cmds-entity,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmds-entity/data-documentation,data/raw/html/documentation_page/2e5244efce0233d468ea48269e61eadb991d0170.html,f7ce3a9d7c9798e5ca2271e489e5f0c57d02b1f229cd01485c5ff92d5d1aa256,text/html,
cmds-provider__data-documentation__89a050d3ee,cmds-provider,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmds-provider/data-documentation,data/raw/html/documentation_page/89a050d3eeaecbde9f3604180849d89b9fb097cf.html,07378d9e475fee75a328b30264b661b43fcbbfae3f5d77aea5cb3f3c173d40ef,text/html,
cmmi-model-data-sharing-cmds-model-participation-data-initiative__data-documentation__2ecfdf599e,cmmi-model-data-sharing-cmds-model-participation-data-initiative,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/cmmi-model-data-sharing-cmds-model-participation-data-initiative/data-documentation,data/raw/html/documentation_page/2ecfdf599ebc29a1d4ed68620f582c6cc6eb41a2.html,d7ac50b252efc50ecc313aad695e937ee7231ac2b7dbb5a537ec3347d8ec1d76,text/html,
cmmi-model-data-sharing-cmds-model-participation-data-initiative__prior-authorization-non-emergent-hyperbaric-oxygen_pdf__6cf6c45e07,cmmi-model-data-sharing-cmds-model-participation-data-initiative,CMMI Model Data Sharing (CMDS) Model Participation Data Initiative | ResDAC,pdf,https://cms.gov/files/document/prior-authorization-non-emergent-hyperbaric-oxygen.pdf,data/raw/assets/pdf/6cf6c45e0769830bcbabb482f12e47b9e47b6055.pdf,dcff5e6d26bd8321422b19df83e4f301ba2ccdcb305e6ab6ba89b0cab58c626c,application/pdf,
dme-encounter__data-documentation__7a9e3ab95c,dme-encounter,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/dme-encounter/data-documentation,data/raw/html/documentation_page/7a9e3ab95c81408f2ef1644024e5ac09aae2fff6.html,8e1c908fd75e71be9580bc363967624dcd1efd766423f1b61ab448365525076f,text/html,
dme-ffs__data-documentation__c76b7f2478,dme-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/dme-ffs/data-documentation,data/raw/html/documentation_page/c76b7f2478f9acd0d6b5bd4f4b0d553884a4a16d.html,af32c46ccc192533c528b455da53c17faf107cc0ce07d693c91353304df66c4c,text/html,
hedis-rif-measures__data-documentation__f5cf468e32,hedis-rif-measures,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hedis-rif-measures/data-documentation,data/raw/html/documentation_page/f5cf468e325578e1687fefbed1bd684b7ce00a7e.html,00c23dcfbefa1b8765df5ca516a5f863eb183a4395a9227a98b2842a7b95161a,text/html,
hedis-rif-pcr-measure__data-documentation__823d2428ab,hedis-rif-pcr-measure,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hedis-rif-pcr-measure/data-documentation,data/raw/html/documentation_page/823d2428abf6133950c7a8a64106da3d3183ce9b.html,937f832450e7bd4c73e58ae487ddfb3e39fe0b66bbfedf8053b78522d9711574,text/html,
hedis-rif__data-documentation__8311ba3d2e,hedis-rif,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hedis-rif/data-documentation,data/raw/html/documentation_page/8311ba3d2ee7169a8025f8e6d9a93ea69cd23043.html,7c0cc295d08edd2cff151cad375a399b430dc44f1a779ead28e790fef7d4aa44,text/html,
hedis-rif__record-layout-hedis_xlsx__12d0d2cc9d,hedis-rif,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-hedis.xlsx,data/raw/assets/xlsx/12d0d2cc9dacbb09dd6e9287b10bee19e1a205f6.xlsx,5138d42d9235763abbe30f6bdaf7f5ff45bca51c4f9a1fe3027ee72374f37583,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
hha-encounter__data-documentation__a07a075e59,hha-encounter,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hha-encounter/data-documentation,data/raw/html/documentation_page/a07a075e593b19d3ebc8b13f1dd8472d93c66d30.html,d163b8666356c572fd6a240af1b650a4578ddd13042d312f3e24b900ef26f6cd,text/html,
hha-ffs__bp102c07_pdf__551d41d9a2,hha-ffs,Find the CMS Data File You Need | ResDAC,pdf,https://cms.gov/Regulations-and-Guidance/Guidance/Manuals/Downloads/bp102c07.pdf,data/raw/assets/pdf/551d41d9a2e0df08a63c3215d57d55efb3708dd1.pdf,a0777bd2428a9a1140b89ae3c2264260696dd07fa38c1a3f8c514d3a7297177f,application/pdf,
hha-ffs__data-documentation__7a39b31d66,hha-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hha-ffs/data-documentation,data/raw/html/documentation_page/7a39b31d66a1e4c8a9496eb67fda7c56df9bca35.html,0407acbf9d924c87d9f96e3c9140128c14e173af2eb00d3ffdb1f358c3707659,text/html,
hos-rif__data-documentation__0542c0b7ab,hos-rif,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hos-rif/data-documentation,data/raw/html/documentation_page/0542c0b7abdac4bf20763005b1206c23e5a31d19.html,1f1eb42490e68b421584ab22ca2b3720d3e5a5cb2ea7109c299951a04d1d776a,text/html,
hospice-ffs__data-documentation__04f4dcf507,hospice-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hospice-ffs/data-documentation,data/raw/html/documentation_page/04f4dcf5076501e9f5760cd735190c8954eeabeb.html,510521598e91bdfa145ea86b47f2473c01e8dc508e693b8ce111ca46af020ca3,text/html,
hrs-medicare__data-documentation__55ba11cf11,hrs-medicare,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/hrs-medicare/data-documentation,data/raw/html/documentation_page/55ba11cf110dc253bf3277de91e56bcf4ca7f79f.html,57eb2aa80dcebaea920a85b70cb58cbf0ab6a039ab0a1046159bdc4ebefcbeed,text/html,
ip-encounter__codebook-encounter-records_pdf__ace8b4036c,ip-encounter,Data Documentation | ResDAC,pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-encounter-records.pdf,data/raw/assets/pdf/ace8b4036c73edd88167f0ea9a3d49439a3af313.pdf,e4ad9449dafc1ea4e600a4d879416eaeadffc976b3fbcaee0757d3406a899256,application/pdf,
