variable_id,variable_name,dataset_id,definition,aliases,years,source_document,source_url,page,chunk_id,extraction_notes
ahc-model__var__bene-id,BENE_ID,ahc-model,specific to the CCW and is not applicable to any other identification system or data,,,data/raw/html/variable_page/9efd4e8c601b6393003c97885503f9735cda60b3.html,https://resdac.org/cms-data/variables/encrypted-ccw-beneficiary-identifier-0,17,ahc-model__codebook-ahc_pdf__2ecadb1aec__p17__chunk_2,
ahc-model__var__sr-cn-hrsn-yn,SR_CN_HRSN_YN,ahc-model,1) and two or more,,,data/raw/assets/pdf/2ecadb1aec0f9d6e0f07a7cc628ccf35b46ec6c5.pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-ahc.pdf,155,ahc-model__codebook-ahc_pdf__2ecadb1aec__p155__chunk_1,
ahc-model__var__sr-ed-last-12-mos,SR_ED_LAST_12_MOS,ahc-model,2 or more),,,data/raw/assets/pdf/2ecadb1aec0f9d6e0f07a7cc628ccf35b46ec6c5.pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-ahc.pdf,155,ahc-model__codebook-ahc_pdf__2ecadb1aec__p155__chunk_1,
ahcah-patient__var__bene-id,BENE_ID,ahcah-patient,specific to the CCW and is not applicable to any other identification system or data,,,data/raw/html/variable_page/69950b21ed36af6e7ed6c908dc18142a50445d3c.html,https://resdac.org/cms-data/variables/encrypted-ccw-beneficiary-id,8,ahcah-patient__codebook-ahcah_pdf__27ccfc2740__p8__chunk_1,
cahps__var__sa-type,SA_TYPE,cahps,"to which survey the beneﬁciary responded (MA-PD, MA-Only, PDP, or FFS)",,,data/raw/assets/pdf/d2602cbe44c673c77cf8472b3ff5f084d5a5c3aa.pdf,https://resdac.org/sites/datadocumentation.resdac.org/files/2026-05/MA_PDP_CAHPS_DataDictionary_2025_CCW.pdf,10,cahps__ma-pdp-cahps-datadictionary-2025-ccw_pdf__d2602cbe44__p10__chunk_1,
cahps__var__su-type,SU_TYPE,cahps,"to which survey the beneﬁciary responded (MA-PD, MA-Only, PDP, or FFS)",,,data/raw/assets/pdf/d2602cbe44c673c77cf8472b3ff5f084d5a5c3aa.pdf,https://resdac.org/sites/datadocumentation.resdac.org/files/2026-05/MA_PDP_CAHPS_DataDictionary_2025_CCW.pdf,10,cahps__ma-pdp-cahps-datadictionary-2025-ccw_pdf__d2602cbe44__p10__chunk_0,
ip-encounter__var__bene-id,BENE_ID,ip-encounter,specific to the CCW and is not applicable to any other identification system or data,,,data/raw/html/variable_page/69950b21ed36af6e7ed6c908dc18142a50445d3c.html,https://resdac.org/cms-data/variables/encrypted-ccw-beneficiary-id,16,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p16__chunk_1,
ip-encounter__var__clm-cntl-num,CLM_CNTL_NUM,ip-encounter,assigned to this updated record. A null/missing CLM_ORIG_CNTL_NUM,,,data/raw/html/variable_page/f308bdb2598ef08fe2bd1d74ff271da9cd40c698.html,https://resdac.org/cms-data/variables/claim-control-number,45,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p45__chunk_2,
ip-encounter__var__clm-rcpt-dt,CLM_RCPT_DT,ip-encounter,derived from the claim control number created by the CMS Encounter Data,,,data/raw/html/variable_page/76a830a2702145d7315961a838250e604646a1fe.html,https://resdac.org/cms-data/variables/claim-receipt-date,74,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p74__chunk_1,
ip-encounter__var__clm-thru-dt,CLM_THRU_DT,ip-encounter,CLM_FROM_DT) +1,,,data/raw/html/variable_page/30f9e17155cdb5b9ea1b3e40ef272f4d202ef6c0.html,https://resdac.org/cms-data/variables/service-month,32,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p32__chunk_1,
ip-encounter__var__icd-dgns-e-cd1,ICD_DGNS_E_CD1,ip-encounter,considered more important than ICD_DGNS_E_CD9),,,data/raw/html/variable_page/869910e92416feac84653533b5016530bb4c96bb.html,https://resdac.org/cms-data/variables/claim-diagnosis-e-code-1-encounter,81,ip-encounter__codebook-encounter-records_pdf__ace8b4036c__p81__chunk_1,
ip-ffs__var__bene-id,BENE_ID,ip-ffs,specific to the CCW and is not applicable to any other identification system or data,,,data/raw/html/variable_page/69950b21ed36af6e7ed6c908dc18142a50445d3c.html,https://resdac.org/cms-data/variables/encrypted-ccw-beneficiary-id,29,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p29__chunk_1,
ip-ffs__var__clm-disp-cd,CLM_DISP_CD,ip-ffs,"3, code 1 means voided original debit)",,,data/raw/assets/pdf/a4af628b5ad494c93baa8921ab4d55ef29217d67.pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-ffs-claims.pdf,44,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p44__chunk_1,
ip-ffs__var__clm-next-gnrtn-aco-ind-cd1,CLM_NEXT_GNRTN_ACO_IND_CD1,ip-ffs,CLM_NEXT_GNRTN_ACO_IND_CD5 to DME lines,,,data/raw/html/variable_page/ae99c2db0488f1e89b5f87430680de8f8329a8b1.html,https://resdac.org/cms-data/variables/claim-next-generation-ng-accountable-care-organization-aco-indicator-code-population-based-payment-pbp,8,ip-ffs__record-layout-ffs-claims_xlsx__90c19c7ea3__s8__chunk_1,
ip-ffs__var__clm-op-pps-ind,CLM_OP_PPS_IND,ip-ffs,"2, and TOBs 13X and 14X",,,data/raw/assets/pdf/a4af628b5ad494c93baa8921ab4d55ef29217d67.pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-ffs-claims.pdf,388,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p388__chunk_2,
ip-ffs__var__clm-rlt-cond-cd,CLM_RLT_COND_CD,ip-ffs,M6 (on the occurrence code file) and CLM_VAL_CD = Q4 (on the value code,,,data/raw/html/variable_page/53d2231e3d34a44d32e05bddc47971c3e72a6831.html,https://resdac.org/cms-data/variables/claim-related-condition-code-sequence,108,ip-ffs__codebook-ffs-claims_pdf__a4af628b5a__p108__chunk_2,
