CMS Chronic Conditions Warehouse (CCW) Data Dictionary
HEDIS Person-Level Data — Utilization (File 1)
Version — June 2025
RIF SAS name	RIF label	Type	Length	2015–16  RIF sequence1	2017 1	2018 1	2020 1	2021 1
BENE_ID	CCW Beneficiary Identifier	NUM	8	1	1	1	1	1
HEDIS_REC_ID	HEDIS Record identifier	NUM	8	2	2	2	2	2
HEDIS_CNTRCT_ID	Contract Identifier (HEDIS)	CHAR	5	3	3	3	3	3
HEDIS_PLAN_ID	Plan Identifier (HEDIS)	CHAR	3	4	4	4	4	4
HEDIS_PLAN_TYPE	Plan Type (HEDIS)	CHAR	30	5	5	5	5	5
HEDIS_ORG_TYPE	Plan Organization Type (HEDIS)	CHAR	10	6	6	6	6	6
CMS_RGN_NAME	CMS Region Name for Plan Organization	CHAR	20	7	7	7	7	7
HEDIS_BENE_STATE_CD	State Code for Beneficiary (Postal)	CHAR	2	8	8	8	8	8
HEDIS_BENE_ZIP_CD	Beneficiary ZIP code	CHAR	5	9	9	9	9	9
HEDIS_SEX_CD3	Beneficiary sex assigned at birth. Sex (HEDIS)	CHAR	1	10	10	10	10	10
HEDIS_BENE_DOB	Beneficiary date of birth (HEDIS)	DATE	8	11	11	11	11	11
SNP_TYPE_CD	Special Needs Plan (SNP) Type Code	NUM	3	12	12	12	12	12
BENE_MMC	Beneficiary Member Months Contribution (MMC) to Denominator	NUM	3	13	13	13	13	13
ABA_DNMTR_IND	Adult BMI Assessment (ABA) Denominator Indicator	NUM	3	14	14	14	—	—
ABA_NMRTR_IND	Adult BMI Assessment (ABA) Numerator Indicator	NUM	3	15	15	15	—	—
COL_DNMTR_IND	Colorectal Cancer Screening (COL) Denominator Indicator	NUM	3	16	16	16	14	14
COL_NMRTR_IND	Colorectal Cancer Screening (COL) Numerator Indicator	NUM	3	17	17	17	15	15
COL_DNMTR_NO_LISDE_NO_DSBLTY_IND	SES Stratficatn Colorectal Cancr Scrng (COL) Dnmtr: Non-LIS/Non-Dual/Nondisbility	NUM	3	—	—	18	16	16
COL_NMRTR_NO_LISDE_NO_DSBLTY_IND	SES Stratficatn Colorectal Cancr Scrng (COL) Nmrtr: Non-LIS/Non-Dual/Nondisbility	NUM	3	—	—	19	17	17
COL_DNMTR_LIS_DE_IND	SES Stratficatn Colorectal Cancer Screening (COL) Dnmtr: LIS or Dual Elig	NUM	3	—	—	20	18	18
COL_NMRTR_LIS_DE_IND	SES Stratification Colorectal Cancer Screening (COL) Nmrtr: LIS or Dual Eligible	NUM	3	—	—	21	19	19
COL_DNMTR_DSBLTY_IND	SES Stratification Colorectal Cancer Screening (COL) Denominator: Disability	NUM	3	—	—	22	20	20
COL_NMRTR_DSBLTY_IND	SES Stratificatn for Colorectal Cancer Screening (COL) Nmrtr: Disability	NUM	3	—	—	23	21	21
COL_DNMTR_LIS_DE_DSBLTY_IND	SES Stratficatn Colorectal Cancr Screening (COL) Dnmtr: LIS, Dual,  Disability	NUM	3	—	—	24	22	22
COL_NMRTR_LIS_DE_DSBLTY_IND	SES Stratficatn Colorectal Cancr Screening (COL) Nmrtr: LIS, Dual,  Disability	NUM	3	—	—	25	23	23
