CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Inpatient (IP) and Skilled Nursing Facility (SNF) Encounter Records
Version — May 2025
SAS name	Label	Type	Length	2015+ 1
Base claim file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
SAMPLE_GROUP	CCW  Beneficiary Random Sample Group	Char	2	2
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	3
CLM_TYPE_CD	Claim Type Code	Char	4	4
CLM_FROM_DT	Claim From Date	Date	8	5
CLM_THRU_DT	Claim Through Date	Date	8	6
SRVC_MONTH	Service Month	Date	6	7
CLM_CHRT_RVW_SW	Claim Chart Review Switch	Char	1	8
CLM_CNTL_NUM	Claim Control Number	Char	23	9
CLM_ORIG_CNTL_NUM	Claim Original Control Number	Char	23	10
CLM_FINL_ACTN_IND	Claim Final Action Indicator	Char	1	11
CLM_LTST_CLM_IND	Latest Claim Indicator	Char	1	12
EDPS_CREATE_DT	Encounter Data Processing System (EDPS) Create Date	Date	8	13
CLM_RCPT_DT	Claim Receipt Date	Date	8	14
CLM_FAC_TYPE_CD	Claim Facility Type Code	Char	1	15
CLM_SRVC_CLSFCTN_TYPE_CD	Claim Service classification Type Code	Char	1	16
CLM_FREQ_CD	Claim Frequency Code	Char	1	17
CNTRCT_NUM	Medicare Part C Contract Number	Char	5	18
CNTRCT_PBP_NUM	Medicare Part C Plan Benefit Package (PBP) Number	Char	3	19
CLM_MDCL_REC	Claim Medical Record Number	Char	1	20
ORG_NPI	Organization NPI Number	Char	10	21
ORG_TXNMY_CD	Organization Taxonomy Code	Char	10	22
RNDRNG_PHYSN_NPI	Claim Rendering Physician NPI Number	Char	10	23
AT_PHYSN_NPI	Claim Attending Physician NPI Number	Char	10	24
AT_PHYSN_TXNMY_CD	Claim Attending Physician Taxonomy Code	Char	10	25
OP_PHYSN_NPI	Claim Operating Physician NPI Number	Char	10	26
OT_PHYSN_NPI	Claim Other Physician NPI Number	Char	10	27
CLM_ADMSN_DT	Claim Admission Date	Date	8	28
CLM_IP_ADMSN_TYPE_CD	Claim Inpatient Admission Type Code	Char	1	29
CLM_SRC_IP_ADMSN_CD	Claim Source Inpatient Admission Code	Char	1	30
PTNT_DSCHRG_STUS_CD	Patient Discharge Status Code	Char	2	31
CLM_DAY_CNT	Day Count (Length of Stay)	Num	4	32
BENE_DSCHRG_DT	Beneficiary Discharge Date	Date	8	33
CLM_DRG_CD	Claim MS-Diagnosis Related Group Code (MS-DRG)	Char	4	34
DRVD_DRG_CD	Derived MS-Diagnosis Related Group Code (MS-DRG)	Char	4	35
ADMTG_DGNS_CD	Claim Admitting Diagnosis Code	Char	7	36
PRNCPAL_DGNS_CD	Claim Principal Diagnosis Code	Char	7	37
ICD_DGNS_CD1	Claim Diagnosis Code 1	Char	7	38
ICD_DGNS_CD2	Claim Diagnosis Code 2	Char	7	39
ICD_DGNS_CD3	Claim Diagnosis Code 3	Char	7	40
ICD_DGNS_CD4	Claim Diagnosis Code 4	Char	7	41
ICD_DGNS_CD5	Claim Diagnosis Code 5	Char	7	42
ICD_DGNS_CD6	Claim Diagnosis Code 6	Char	7	43
ICD_DGNS_CD7	Claim Diagnosis Code 7	Char	7	44
ICD_DGNS_CD8	Claim Diagnosis Code 8	Char	7	45
ICD_DGNS_CD9	Claim Diagnosis Code 9	Char	7	46
ICD_DGNS_CD10	Claim Diagnosis Code 10	Char	7	47
ICD_DGNS_CD11	Claim Diagnosis Code 11	Char	7	48
ICD_DGNS_CD12	Claim Diagnosis Code 12	Char	7	49
ICD_DGNS_CD13	Claim Diagnosis Code 13	Char	7	50
ICD_DGNS_CD14	Claim Diagnosis Code 14	Char	7	51
ICD_DGNS_CD15	Claim Diagnosis Code 15	Char	7	52
ICD_DGNS_CD16	Claim Diagnosis Code 16	Char	7	53
ICD_DGNS_CD17	Claim Diagnosis Code 17	Char	7	54
ICD_DGNS_CD18	Claim Diagnosis Code 18	Char	7	55
