CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Master Beneficiary Summary File (MBSF) Base A/B/C/D Version 2 (V2)
Version — March 2025
SAS name	Label	Type	Length
BENE_ID	Encrypted 723 Beneficiary ID	CHAR	15
BENE_ENROLLMT_REF_YR	Beneficiary Enrollment Reference Year	NUM	4
SAMPLE_GROUP	Medicare 1, 5, or 20% Strict Sample Group Indicator	CHAR	2
ENHANCED_FIVE_PERCENT_FLAG	Medicare Enhanced 5% Sample Indicator	CHAR	1
CRNT_BIC_CD	Current Beneficiary Identification Code	CHAR	2
STATE_CD	SSA State Code	CHAR	2
COUNTY_CD	SSA County Code	CHAR	3
ZIP_CD	5-digit ZIP Code	CHAR	5
STATE_CNTY_FIPS_CD_01	FIPS State-County Code - January	CHAR	5
STATE_CNTY_FIPS_CD_02	FIPS State-County Code - February	CHAR	5
STATE_CNTY_FIPS_CD_03	FIPS State-County Code - March	CHAR	5
STATE_CNTY_FIPS_CD_04	FIPS State-County Code - April	CHAR	5
STATE_CNTY_FIPS_CD_05	FIPS State-County Code - May	CHAR	5
STATE_CNTY_FIPS_CD_06	FIPS State-County Code - June	CHAR	5
STATE_CNTY_FIPS_CD_07	FIPS State-County Code - July	CHAR	5
STATE_CNTY_FIPS_CD_08	FIPS State-County Code - August	CHAR	5
STATE_CNTY_FIPS_CD_09	FIPS State-County Code - September	CHAR	5
STATE_CNTY_FIPS_CD_10	FIPS State-County Code - October	CHAR	5
STATE_CNTY_FIPS_CD_11	FIPS State-County Code - November	CHAR	5
STATE_CNTY_FIPS_CD_12	FIPS State-County Code - December	CHAR	5
AGE_AT_END_REF_YR	Age at the End of the Reference Year	NUM	3
BENE_BIRTH_DT	Beneficiary Date of Birth	DATE	8
VALID_DEATH_DT_SW	Valid Date of Death Switch	CHAR	1
BENE_DEATH_DT	Beneficiary Date of Death	DATE	8
SEX_IDENT_CD	Sex	CHAR	1
BENE_RACE_CD	Beneficiary Race Code	CHAR	1
RTI_RACE_CD	Research Triangle Institute (RTI) Race Code	CHAR	1
COVSTART	Medicare Coverage Start Date	DATE	8
PTA_CVRG_STRT_DT	Medicare Part A Coverage Start Date	DATE	8
PTB_CVRG_STRT_DT	Medicare Part B Coverage Start Date	DATE	8
PTD_CVRG_STRT_DT	Medicare Part D Coverage Start Date	DATE	8
ENTLMT_RSN_ORIG	Original Reason for Entitlement Code	CHAR	1
ENTLMT_RSN_CURR	Current Reason for Entitlement Code	CHAR	1
ESRD_IND	End-stage Renal Disease (ESRD)- Annual Indicator	CHAR	1
ESRD_IND_01	ESRD Indicator - January	CHAR	1
ESRD_IND_02	ESRD Indicator - February	CHAR	1
ESRD_IND_03	ESRD Indicator - March	CHAR	1
ESRD_IND_04	ESRD Indicator - April	CHAR	1
ESRD_IND_05	ESRD Indicator - May	CHAR	1
ESRD_IND_06	ESRD Indicator - June	CHAR	1
ESRD_IND_07	ESRD Indicator - July	CHAR	1
ESRD_IND_08	ESRD Indicator - August	CHAR	1
ESRD_IND_09	ESRD Indicator - September	CHAR	1
ESRD_IND_10	ESRD Indicator - October	CHAR	1
ESRD_IND_11	ESRD Indicator - November	CHAR	1
ESRD_IND_12	ESRD Indicator - December	CHAR	1
SSA_DIB_AWD_CD	SSA Disability Insurance Benefit Award Code	CHAR	1
SSA_DIB_JSTFCTN_CD	SSA Disability Insurance Benefit Entitlement to Medicare Justification Code	CHAR	1
SSA_DIB_PRMRY_IMPRMNT_CD	SSA Disability Insurance Benefit Dx Primary Impairment Code	CHAR	4
SSA_DIB_SCNDRY_IMPRMNT_CD	SSA Disability Insurance Benefit Dx Secondary Impairment Code	CHAR	4
MDCR_STATUS_CD_01	Medicare Status Code - January	CHAR	2
MDCR_STATUS_CD_02	Medicare Status Code - February	CHAR	2
MDCR_STATUS_CD_03	Medicare Status Code - March	CHAR	2
MDCR_STATUS_CD_04	Medicare Status Code - April	CHAR	2
MDCR_STATUS_CD_05	Medicare Status Code - May	CHAR	2
MDCR_STATUS_CD_06	Medicare Status Code - June	CHAR	2
MDCR_STATUS_CD_07	Medicare Status Code - July	CHAR	2
MDCR_STATUS_CD_08	Medicare Status Code - August	CHAR	2
MDCR_STATUS_CD_09	Medicare Status Code - September	CHAR	2
MDCR_STATUS_CD_10	Medicare Status Code - October	CHAR	2
MDCR_STATUS_CD_11	Medicare Status Code - November	CHAR	2
MDCR_STATUS_CD_12	Medicare Status Code - December	CHAR	2
MDCR_STATUS_CD	Medicare Status Code - Annual Indicator	CHAR	2
BENE_PTA_TRMNTN_CD	Part A Termination Code	CHAR	1
BENE_PTB_TRMNTN_CD	Part B Termination Code	CHAR	1
BENE_HI_CVRAGE_TOT_MONS	Hospital Insurance (HI) Coverage Months Count	NUM	3
BENE_SMI_CVRAGE_TOT_MONS	Supplemental Medical Insurance (SMI) Coverage Months Count	NUM	3
BENE_STATE_BUYIN_TOT_MONS	State Buy-In (SBI) Coverage Months	NUM	3
BENE_HMO_CVRAGE_TOT_MONS	Health Maintenance Organization (HMO) Coverage Months	NUM	3
PTD_PLAN_CVRG_MONS	Part D Contract Plan Coverage Months	NUM	3
RDS_CVRG_MONS	Retiree Drug Subsidy (RDS) Coverage Months	NUM	3
DUAL_ELGBL_MONS	Medicaid Dual Eligible Months	NUM	3
MDCR_ENTLMT_BUYIN_IND_01	Medicare Entitlement/ Buy-In Indicator - January	CHAR	1
MDCR_ENTLMT_BUYIN_IND_02	Medicare Entitlement/ Buy-In Indicator - February	CHAR	1
