CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare-Medicaid Linked Enrollee Analytic Data Set (MMLEADS) — Beneficiary Summary File
August 2021
File Sequence	Long SAS NAME	Label	Type	Length
1	BENE_ID	CCW Beneficiary Identifier	Num	8
2	MSIS_ID	State Assigned Beneficiary Unique Identifier	Char	32
3	STATE_CD	State Alpha Abbreviation	Char	2
4	MME_TYPE_CD	Annual Medicare - Medicaid Eligibility Type Code	Num	8
5	SAMPLE_GRP	Sample Group Indicator - 1%	Num	8
6	BIRTH_DT	Date of Birth	Date	8
7	AGE	Age (in Years)	Num	8
8	ALIVE_MOS	Months Alive	Num	8
9	DEATH_DT	Date of Death	Date	8
10	SEX_CD	Sex (Biological) - Ltst in Yr	Char	1
11	MDCR_RTI_RACE	Medicare - Research Triangle Institute (RTI) Race Code	Char	1
12	MDCD_RACE_ETHNCTY_CD	Medicaid - Race and Ethnicity Constructed Code - Ltst in Yr	Char	1
13	MDCR_STATE_CD	Medicare - State FIPS Code - Ltst in Yr	Char	2
14	MDCR_COUNTY_CD	Medicare - County FIPS Code - Ltst in Yr	Char	3
15	MDCR_PTA_MOS	Medicare - Part A Enrolled Months	Num	8
16	MDCR_PTB_MOS	Medicare - Part B Enrolled Months	Num	8
17	MDCR_PTAPTB_MOS	Medicare - Part A  Part B Enrolled Months	Num	8
18	MDCR_PTD_MOS	Medicare - Part D Enrolled Months	Num	8
19	FD_MOS	Medicare - Full Dual Months	Num	8
20	PD_MOS	Partial Dual Months	Num	8
21	MDCR_ONLY_MOS	Medicare Only Months	Num	8
22	MDCD_ELGBLTY_GRP_CD_LTST	Medicaid - Eligibility Group Code - Ltst in Yr	Char	2
23	MDCD_ABD_MOS	Medicaid Enrollment - Aged, Blind, Disabled Months	Num	8
24	MDCD_ONLY_MOS	Medicaid - Aged, Blind, Disabled Only Months	Num	8
25	MDCD_CHIP_NON_ABD_MOS	Medicaid or CHIP Enrollment - Non-ABD Months	Num	8
