CMS Chronic Conditions Data Warehouse (CCW) Data Dictionary
Medicare Part D Prescriber Characteristics File
Version - October 2016
Long SAS Name	Label	Type	Length	Year of Data File1
				2006 - 2013	2014 +
CCW_PRSCRBR_ID	CCW-assigned Prescriber ID	NUM	8	X	-
NPI	Prescriber National Provider Identifier (NPI)	CHAR	10	-	X
HCID	HCIdea Proprietary Prescriber Identifier	CHAR	10	-	X
PRIMARY_TAXONOMY_CD	Primary Taxonomy Code for Part D Prescribers	CHAR	10	X	X
PRIMARY_TAXONOMY_DESC	Primary Taxonomy Code Description for Part D Prescribers	CHAR	250	X	X
OTHER_TAXONOMY_CLASS01	Other Taxonomy Classification 1 - for Part D Prescribers	CHAR	4	X	X
OTHER_TAXONOMY_CLASS02	Other Taxonomy Classification 2 - for Part D Prescribers	CHAR	4	X	X
OTHER_TAXONOMY_CLASS03	Other Taxonomy Classification 3 - for Part D Prescribers	CHAR	4	X	X
OTHER_TAXONOMY_CLASS04	Other Taxonomy Classification 4 - for Part D Prescribers	CHAR	4	X	X
PRACTICE_LOC_STATE01	Practice Location State  1 - for Part D Prescribers	CHAR	2	X	X
PRACTICE_LOC_STATE02	Practice Location State  2 - for Part D Prescribers	CHAR	2	X	X
PRACTICE_LOC_STATE03	Practice Location State  3 - for Part D Prescribers	CHAR	2	X	X
PRACTICE_LOC_STATE04	Practice Location State  4 - for Part D Prescribers	CHAR	2	X	X
PRACTICE_LOC_STATE05	Practice Location State  5 - for Part D Prescribers	CHAR	2	X	X
CREDENTIAL01	Academic or Professional Credential  1 - for Part D Prescribers	CHAR	8	X	X
CREDENTIAL02	Academic or Professional Credential  2 - for Part D Prescribers	CHAR	8	X	X
CREDENTIAL03	Academic or Professional Credential 3 - for Part D Prescribers	CHAR	8	X	X
CREDENTIAL04	Academic or Professional Credential  4 - for Part D Prescribers	CHAR	8	X	X
CREDENTIAL05	Academic or Professional Credential  5 - for Part D Prescribers	CHAR	8	X	X
1 Shading or '-' indicates that the variable was not present during this time.
