CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Plan Characteristics File — Plan Base File
Version — October 2025
Long SAS name	Label	Type	Length		Year of data file1
				2015–2016	2017–2022	2023 +
CONTRACT_ID	Contract Identifier	CHAR	5	X	X	X
PLAN_ID	Plan Benefit Package Identifier	CHAR	3	X	X	X
FORMULARY_ID	Part D Formulary Identifier	CHAR	8	X	X	X
PTCD_INDICATOR	Indicates Whether the Current Year Plan is Part C, Part D or Both	CHAR	1	X	X	X
CONTRACT_NAME	Contract Name	CHAR	150	X	X	X
PLAN_NAME	Plan Benefit Package Name	CHAR	75	X	X	X
ORGANIZATION_MARKETING_NAME	Plan Organization Marketing Name	CHAR	150	X	X	X
PARENT_ORGANIZATION	Plan Parent Organization Name	CHAR	50	X	X	X
EFFECTIVE_DATE	Plan Effective Date	CHAR	10	X	X	X
ORGANIZATION_TYPE	Organization Type	CHAR	2	X	X	X
PLAN_TYPE	Plan Type	CHAR	2	X	X	X
DEMO_TYPE	Demonstration Type	CHAR	1	X	X	X
SNP_TYPE	Special Needs Plan (SNP) Type	CHAR	1	X	X	X
FIDE_SNP	Fully Integrated Dual Eligible (FIDE) SNP	CHAR	1	X	X	-
DSNP_ZERODOLLAR	Medicare Zero-Dollar Cost Sharing D-SNP Plan	CHAR	1	-	X	-
DRUG_BENEFIT_TYPE	Part D Drug Benefit Type	CHAR	1	X	X	X
EGWP_INDICATOR	Employer Group Waiver Plan (EGWP) Indicator	CHAR	1	X	X	X
EGHP_CALENDAR_YEAR_FLAG	Employer Group Health Plan (EGHP) Calendar Year Indicator	CHAR	1	X	X	X
COV_CRITERIA	Coverage Criteria (Part A/B or B only Requirement)	CHAR	1	X	X	X
NATIONAL_PDP	National Prescription Drug Plan (PDP) Sponsor	CHAR	1	X	X	X
DEMINIMIS_PD_FLAG	Part D Deminimis Paid Flag	CHAR	1	X	X	X
DED_APPLY	How Part D Deductible is Applied	CHAR	1	X	X	X
DED_AMT	Part D Plan Deductible Amount	NUM	12	X	X	X
DED_APPLY_ALL	Type of Cost Sharing in the Part D Plan Deductible Phase	CHAR	1	X	X	X
DED_COSTSHARE_TIERS	Tiers with Cost Sharing in the Part D Deductible Phase	CHAR	7	X	X	X
DED_COPAY	Part D Deductible Phase Co-pay Amount	NUM	12	X	X	X
DED_COINS	Part D Plan Deductible Phase Coinsurance Percentage	NUM	12	X	X	X
FREE_FIRST_FILL	Indicates Whether Part D Plan Offers Free First Prescription Fill	CHAR	1	X	X	X
PRE_ICL_APPLY	How Part D Pre-ICL Cost-Sharing is Applied in the Part D Plan	CHAR	1	X	X	X
ICL_APPLY	How Part D Initial Coverage Limit (ICL) is Applied in the Part D Plan	CHAR	1	X	X	X
ICL_AMT	Part D Plan Initial Coverage Limit (ICL) Amount	NUM	12	X	X	X
POST_OOPT_APPLY	How Post Out-of-Pocket (OOP) Threshold Cost-Sharing is Applied in the Part D Plan	CHAR	1	X	X	X
OOPT_AMT	Out-of-Pocket (OOP) Threshold Amount in the Part D Plan	NUM	12	X	X	X
EXCLUDED_DRUGS	Indicates Whether Part D Plan Covers Excluded Drugs	CHAR	1	X	X	X
REDUCED_COST_SHARE	Indicates Whether Part D Plan Offers Reduced Cost-Sharing	CHAR	1	X	X	X
REDUCED_DED	Indicates Whether Part D Plan Offers Reduced Deductible Amount	CHAR	1	X	X	X
REDUCED_PREICL_CS	Indicates Whether Part D Plan Offers Reduced Pre-ICL Cost-sharing	CHAR	1	X	X	X
REDUCED_OOPT_CS	Indicates Whether Part D Plan Offers Reduced Post Out-of-Pocket (OOP) Threshold Cost-Sharing Amounts	CHAR	1	X	X	X
INCREASED_ICL	Indicates Whether Part D Plan Offers Increased Initial Coverage Limit (ICL) Amount	CHAR	1	X	X	X
OTC_UM_PROGRAM	Part D Plan Covers Over-the-Counter (OTC) Medications under the Utilization Management Program	CHAR	1	X	X	X
1 For all columns under "Year of Data File":  X = variable is present (shading or '-' indicates it is not)

CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Plan Characteristics File — Premium File
Version — October 2025
Long SAS name	Label	Type	Length	1Year of	Data File1
				2015–20232	2024 +
CONTRACT_ID	Contract Identifier	CHAR	5	X	X
PLAN_ID	Plan Benefit Package Identifier	CHAR	3	X	X
SEGMENT_ID	Market Segment Identifier	CHAR	3	X	X
PTCD_INDICATOR	Indicates Whether the Current Year Plan is Part C, Part D or Both	CHAR	1	X	X
PART_B_PREMIUM_REDUCTION_AMT	Part B Premium Reduction Amount	NUM	12	X	X
PART_C_PREMIUM	Part C Premium	NUM	12	X	X
PLAN_BASIC_PREMIUM_NET_REBATE	Part D Basic Premium Net of Rebate	NUM	12	X	X
PLAN_SUPP_PREMIUM_NET_REBATE	Part D Supplemental Premium Net of Rebate	NUM	12	X	X
PLAN_TOTAL_PREMIUM_NET_REBATE	Part D Total Premium Net of Rebate	NUM	12	X	X
PART_D_LIS_25	Part D Low Income Subsidy 25%	NUM	12	X	-
PART_D_LIS_50	Part D Low Income Subsidy 50%	NUM	12	X	-
PART_D_LIS_75	Part D Low Income Subsidy 75%	NUM	12	X	-
PART_D_LIS_100	Part D Low Income Subsidy 100%	NUM	12	X	X
PART_D_LIPS_25	Part D Low Income Premium Subsidy 25%	NUM	12	X	-
PART_D_LIPS_50	Part D Low Income Premium Subsidy 50%	NUM	12	X	-
PART_D_LIPS_75	Part D Low Income Premium Subsidy 75%	NUM	12	X	-
PART_D_LIPS_100	Part D Low Income Premium Subsidy 100%	NUM	12	X	X
BELOW_BENCHMARK	Indicates Whether Part D Plan Offered Basic Plan with Premium Below Benchmark	CHAR	1	X	X
1 Shading or '-' indicates that the variable was not present during this time.
2 Prior to the 2015 benefit year, this file was available in the Part D Plan Characteristics Files

CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Plan Characteristics File — Tier File1
Version — October 2025
Long SAS name	Label	Type	Length2	3Year of	Data File3
				2015–2023	2024 +
CONTRACT_ID	Contract Identifier	CHAR	5	X	X
PLAN_ID	Plan Benefit Package Identifier	CHAR	3	X	X
TIER_ID	Tier Number	CHAR	2	X	X
GAP_TIER	Indicates Whether Tier is Covered in the Gap Phase	CHAR	1	X	X
GAP_TIER_PARTIAL	Indicates Whether Tier is Partially Covered in the Gap Phase	CHAR	1	X	X
EXCLUDED_TIER_GAP	Indicates Whether Excluded Drugs are Covered on this Tier in the Gap Phase	CHAR	1	X	X
EXCLUDED_TIER_PRE_ICL	Indicates Whether Excluded Drugs are Covered on this Tier in the Pre ICL Phase	CHAR	1	X	X
SPECIALTY_TIER	Indicates Whether Tier is a Specialty Tier	CHAR	1	X	X
Pre-ICL Tier Cost-Sharing
PRE_ICL_TIER_DRUG_TYPE2	Pre-ICL Drug Type by Tier	CHAR	6*	X	X
PRE_ICL_COSTSHARE_TYPE	Pre-ICL Costshare Type	CHAR	1	X	X
PRE_ICL_INP_COINS_1M	Pre-ICL Coinsurance Standard Retail - 1 month supply	NUM	12	X	X
PRE_ICL_INP_COINS_2M	Pre-ICL Coinsurance Standard Retail - 2 month supply	NUM	12	X	X
PRE_ICL_INP_COINS_3M	Pre-ICL Coinsurance Standard Retail - 3 month supply	NUM	12	X	X
PRE_ICL_INP_COINS_AVG_1M	Pre-ICL Average Expected Cost Sharing - Standard Retail Coinsurance 1M	NUM	12	X	X
PRE_ICL_INP_COPAY_1M	Pre-ICL Copay Standard Retail - 1 month supply	NUM	12	X	X
PRE_ICL_INP_COPAY_2M	Pre-ICL Copay Standard Retail - 2 month supply	NUM	12	X	X
PRE_ICL_INP_COPAY_3M	Pre-ICL Copay Standard Retail - 3 month supply	NUM	12	X	X
PRE_ICL_INP_COPAY_DAILY	Pre-ICL Copay Standard Retail - 1 day supply	NUM	12	X	X
PRE_ICL_DAYS_INP_1M	Pre-ICL Standard Retail - number of days in 1 month supply	NUM	5	X	X
PRE_ICL_DAYS_INP_2M	Pre-ICL Standard Retail - number of days in 2 month supply	NUM	5	X	X
PRE_ICL_DAYS_INP_3M	Pre-ICL Standard Retail - number of days in 3 month supply	NUM	5	X	X
PRE_ICL_INPP_COINS_1M	Pre-ICL Coinsurance Split Network Preferred - 1 month supply	NUM	12	X	X
