CMS Chronic Conditions Data Warehouse (CCW) Data Dictionary
Value Modifier Beneficiary-Level RIF / Performance Year 2016
Version - August 2018
Variable Name	Variable Label (Short Description)	Long Description	Position	Format	Length	Notes
BENE_ID	Encrypted CCW Beneficiary ID	Encrypted CCW Beneficiary ID	1	Char	15
PRACTICE_ID	Unique identifier of practice to which beneficiary is attributed	Unique identifier of practice	2	Char	11
IN_PATIENT	Total costs for inpatient hospital facility services	Per capita cost for attributed beneficiary, Inpatient Hospital Facility Services category	3	Num	8	Populated only for records with Inpatient_stay not equal to missing
MSPB_EPISODE	Episode for MSPB measure	Indicator for whether record corresponds to episode for Medicare Spending per Beneficiary (MSPB) measure	4	Num	8	Equals 1 if record corresponds to episode for Medicare Spending per Beneficiary (MSPB) measure. Equal to zero otherwise.
SSP_ADM	Admission for ACO-level All Condition Readmission measure	Indicator for whether beneficiary hospital admission counted in calculation of ACO-level All Condition Readmission measure	5	Num	8	Equals 1 if beneficiary hospital admission counted in calculation of ACO-level All Condition Readmission measure. Equal to zero otherwise.
GENDER	Gender	Beneficiary gender	6	Char	1	Equals M if beneficiary is male and equals F if beneficiary is female
DOB	Birth date	Beneficiary date of birth	7	Num	8	MM/DD/YYYY
DIED	Died during 2016	Indicator for whether beneficiary died in 2016	8	Num	8	Populated only for records with Inpatient_stay not equal to missing. Equals 1 if beneficiary died in 2016
BENE_RISK_SCORE_PCTL	Risk percentile rank	Percentile of beneficiary hierarchical condition category (HCC) risk score compared with all other Medicare beneficiaries (higher percentiles indicate higher risk)	9	Num	8	Populated only for records with Inpatient_stay not equal to missing
MSPB_RISK_SCORE_PCTL	Risk percentile rank	Percentile of beneficiary hierarchical condition category (HCC) risk score compared with all other Medicare beneficiaries (higher percentiles indicate higher risk)	10	Num	8	Populated only for records with MSPB_episode=1
COPD	Chronic condition flag for COPD	Indicator for whether beneficiary has COPD	11	Num	8	Populated only for records with Inpatient_stay not equal to missing. Equals 1 if beneficiary has COPD
IHD	Chronic condition flag for CAD	Indicator for whether beneficiary has Coronary Artery Disease	12	Num	8	Populated only for records with Inpatient_stay not equal to missing. Equals 1 if beneficiary has Coronary Artery Disease
DIA	Chronic condition flag for diabetes	Indicator for whether beneficiary has Diabetes	13	Num	8	Populated only for records with Inpatient_stay not equal to missing. Equals 1 if beneficiary has Diabetes
CHF	Chronic condition flag for heart failure	Indicator for whether beneficiary has Heart Failure	14	Num	8	Populated only for records with Inpatient_stay not equal to missing. Equals 1 if beneficiary has Heart Failure
ACSC_ADM_COPD	ACSC admission for COPD or Asthma	Indicator for whether beneficiary hospital admission counted in calculation of practice's COPD or Asthma Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate	15	Num	8	Populated only for records with Inpatient_stay=1. Equals 1 if beneficiary hospital admission counted in calculation of practice's COPD or Asthma Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate
ACSC_ADM_DIA	ACSC admission for diabetes	Indicator for whether beneficiary hospital admission counted in calculation of practice's Diabetes Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate	16	Num	8	Populated only for records with Inpatient_stay=1. Equals 1 if beneficiary hospital admission counted in calculation of practice's Diabetes Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate
ACSC_ADM_HF	ACSC admission for heart failure	Indicator for whether beneficiary hospital admission counted in calculation of practice's Heart Failure Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate	17	Num	8	Populated only for records with Inpatient_stay=1. Equals 1 if beneficiary hospital admission counted in calculation of practice's Heart Failure Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate
ACSC_ADM_DH	ACSC admission for dehydration	Indicator for whether beneficiary hospital admission counted in calculation of practice's Dehydration Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate	18	Num	8	Populated only for records with Inpatient_stay=1. Equals 1 if beneficiary hospital admission counted in calculation of practice's Dehydration Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate
ACSC_ADM_PN	ACSC admission for pneumonia	Indicator for whether beneficiary hospital admission counted in calculation of practice's Pneumonia Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate	19	Num	8	Populated only for records with Inpatient_stay=1. Equals 1 if beneficiary hospital admission counted in calculation of practice's Pneumonia Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate
