CMS Chronic Conditions Data Warehouse (CCW) Data Dictionary
Value Modifier Practice-Level RIF / Performance Year 2016
Version - August 2018
Variable Name	Variable Label (Short Description)	Long Description	Position	Format	Length	Notes
PRACTICE_ID	Unique identifier of practice	Unique identifier of practice	1	Char	11	
PRACTICE_NAME	Name of practice found in PECOS	Full Medical Group Practice Name	2	Char	70	
STATE	Location (state) of practice	State in which practice is located	3	Char	2	
GET_REPORT	Full QRUR received	Indicator for whether practice received full Quality and Resource Use Report (QRUR)	4	Num	8	Equals 1 if practice received a full Quality and Resource Use Report (QRUR)
VM_PAYMENT_ADJ_POST_IR	Value Modifier payment adjustment (post-IR)	Updated Value Modifier payment adjustment after Informal Review process	5	Char	8	AF stands for Adjustment Factor.
VM_PAYMENT_ADJ	Value Modifier payment adjustment (pre-IR)	Value Modifier payment adjustment before Informal Review process for practices subject to the Value Modifier	6	Char	8	AF stands for Adjustment Factor.
VM_CHANGE	Value Modifier payment adjustment change	Indicator for whether Value Modifier was updated due to Informal Review	7	Num	8	Equals 1 if Value Modifier was updated due to Informal Review. If Value Modifier changed due to Informal Review, then Value Modifier is captured in VM_PAYMENT_ADJ_POST_IR variable.
PARENT_ACO	ACO Parent practice	Shared Savings Program Accountable Care Organization (ACO) parent for practice	8	Char	6	
MSSP	Practice enrolled in MSSP	Indicator for whether practice was a MSSP ACO practice in performance year 2016	9	Num	8	Equals 1 if practice was a MSSP ACO practice in performance year 2016
GPRO	GPRO practice	Indicator for whether practice registered to report data to the PQRS via the Group Practice Reporting Option (GPRO)	10	Num	8	Equals 1 if practice registered to report data to the PQRS via the Group Practice Reporting Option (GPRO)
GPRO_MECH	GPRO reporting mechanism (text)	Group Practice Reporting Option (GPRO) mechanism through which practice reported quality data to the PQRS	11	Char	40	
GPRO_EVAL	Practice evaluated for meeting minimum reporting requirements based on GPRO data	Indicator for whether practice evaluated for meeting minimum PQRS reporting requirements based on GPRO data	12	Num	8	Equals 1 if practice evaluated for meeting minimum PQRS reporting requirements based on GPRO data
CAT1	(For VM-eligible TINs only) TIN meets minimum reporting requirement		13	Num	8	Equals 1 If VM-eligible TIN meets minimum reporting requirement
CAT2	(For VM-eligible TINs only) TIN does not meet minimum reporting requirement		14	Num	8	Equals 1 If VM-eligible TIN does not meet minimum reporting requirement
